Timestamp,TestName,Iteration,RowCount,Elapsed
2025-07-01 15:36:15,ScanQuery,46,1,1970.54
2025-07-01 15:36:18,ScanQuery,47,1,1812.49
2025-07-01 15:36:21,ScanQuery,48,1,1629.22
2025-07-01 15:36:24,ScanQuery,49,1,1734.12
2025-07-01 15:36:27,ScanQuery,50,1,1796.91
2025-07-01 15:36:40,ScanQuery,1,1,9666097.01
2025-07-01 15:36:51,ScanQuery,2,1,8162820.18
2025-07-01 15:37:02,ScanQuery,3,1,8695658.30
2025-07-01 15:37:13,ScanQuery,4,1,7773336.88
2025-07-01 15:37:24,ScanQuery,5,1,8250364.65
2025-07-01 15:37:35,ScanQuery,6,1,7786247.99
2025-07-01 15:37:46,ScanQuery,7,1,7735498.82
2025-07-01 15:37:57,ScanQuery,8,1,7816940.48
2025-07-01 15:38:08,ScanQuery,9,1,7867916.42
2025-07-01 15:38:18,ScanQuery,10,1,7534379.60
2025-07-01 15:38:29,ScanQuery,11,1,7668258.57
2025-07-01 15:38:39,ScanQuery,12,1,7574508.92
2025-07-01 15:38:50,ScanQuery,13,1,7637731.78
2025-07-01 15:39:01,ScanQuery,14,1,7552418.26
2025-07-01 15:39:11,ScanQuery,15,1,7836703.04
2025-07-01 15:39:22,ScanQuery,16,1,7661587.84
2025-07-01 15:39:33,ScanQuery,17,1,7882112.52
2025-07-01 15:39:44,ScanQuery,18,1,7705873.37
2025-07-01 15:39:55,ScanQuery,19,1,7825213.07
2025-07-01 15:40:05,ScanQuery,20,1,7929784.09
2025-07-01 15:40:16,ScanQuery,21,1,7894066.56
2025-07-01 15:40:27,ScanQuery,22,1,7853386.31
2025-07-01 15:40:38,ScanQuery,23,1,7983027.69
2025-07-01 15:40:49,ScanQuery,24,1,7782752.72
2025-07-01 15:41:00,ScanQuery,25,1,7767104.96
2025-07-01 15:41:11,ScanQuery,26,1,7959126.19
2025-07-01 15:41:22,ScanQuery,27,1,7853559.39
2025-07-01 15:41:32,ScanQuery,28,1,7625181.68
2025-07-01 15:41:43,ScanQuery,29,1,7682612.18
2025-07-01 15:41:53,ScanQuery,30,1,7630603.96
2025-07-01 15:42:04,ScanQuery,31,1,7637461.32
2025-07-01 15:42:15,ScanQuery,32,1,7626613.05
2025-07-01 15:42:25,ScanQuery,33,1,7642409.37
2025-07-01 15:42:36,ScanQuery,34,1,7548448.02
2025-07-01 15:42:47,ScanQuery,35,1,7829449.89
2025-07-01 15:42:57,ScanQuery,36,1,7611924.04
2025-07-01 15:43:08,ScanQuery,37,1,7585101.45
2025-07-01 15:43:18,ScanQuery,38,1,7484421.53
2025-07-01 15:43:29,ScanQuery,39,1,7517537.96
2025-07-01 15:43:39,ScanQuery,40,1,7479166.60
2025-07-01 15:43:50,ScanQuery,41,1,7810048.91
2025-07-01 15:44:01,ScanQuery,42,1,7877299.62
2025-07-01 15:44:12,ScanQuery,43,1,7882925.20
2025-07-01 15:44:23,ScanQuery,44,1,7497748.05
2025-07-01 15:44:33,ScanQuery,45,1,7573346.45
2025-07-01 15:44:44,ScanQuery,46,1,7492630.29
2025-07-01 15:44:54,ScanQuery,47,1,7764704.64
2025-07-01 15:45:05,ScanQuery,48,1,7421920.89
2025-07-01 15:45:15,ScanQuery,49,1,7497332.00
2025-07-01 15:45:26,ScanQuery,50,1,7683677.17
