Timestamp,TestName,Iteration,RowCount,ElapsedMs
2025-06-27 21:07:03,ScanQuery,1,400000,26994
2025-06-27 21:07:32,ScanQuery,2,400000,25628
2025-06-27 21:08:01,ScanQuery,3,400000,25970
2025-06-27 21:08:42,ScanQuery,4,400000,37973
2025-06-27 21:09:25,ScanQuery,5,400000,40819
2025-06-27 21:10:08,ScanQuery,6,400000,39486
2025-06-27 21:10:38,ScanQuery,7,400000,27286
2025-06-27 21:11:21,ScanQuery,8,400000,39872
2025-06-27 21:11:50,ScanQuery,9,400000,25783
2025-06-27 21:12:19,ScanQuery,10,400000,25719
2025-06-27 21:13:03,ScanQuery,11,400000,41504
2025-06-27 21:13:34,ScanQuery,12,400000,27379
2025-06-27 21:14:03,ScanQuery,13,400000,26286
2025-06-27 21:14:48,ScanQuery,14,400000,42626
2025-06-27 21:15:31,ScanQuery,15,400000,39337
2025-06-27 21:15:59,ScanQuery,16,400000,25373
2025-06-27 21:16:28,ScanQuery,17,400000,26015
2025-06-27 21:16:57,ScanQuery,18,400000,25404
2025-06-27 21:17:25,ScanQuery,19,400000,25552
2025-06-27 21:17:54,ScanQuery,20,400000,26133
2025-06-27 21:18:23,ScanQuery,21,400000,25958
2025-06-27 21:18:52,ScanQuery,22,400000,26185
2025-06-27 21:19:20,ScanQuery,23,400000,24863
2025-06-27 21:19:48,ScanQuery,24,400000,25212
2025-06-27 21:20:17,ScanQuery,25,400000,25297
2025-06-27 21:20:58,ScanQuery,26,400000,38361
2025-06-27 21:21:27,ScanQuery,27,400000,25445
2025-06-27 21:21:55,ScanQuery,28,400000,25171
2025-06-27 21:22:35,ScanQuery,29,400000,37611
2025-06-27 21:23:18,ScanQuery,30,400000,39230
2025-06-27 21:23:47,ScanQuery,31,400000,26428
2025-06-27 21:24:16,ScanQuery,32,400000,25629
2025-06-27 21:24:45,ScanQuery,33,400000,26380
2025-06-27 21:25:14,ScanQuery,34,400000,26096
2025-06-27 21:25:43,ScanQuery,35,400000,26112
2025-06-27 21:26:12,ScanQuery,36,400000,25786
2025-06-27 21:26:41,ScanQuery,37,400000,25958
2025-06-27 21:27:22,ScanQuery,38,400000,38070
2025-06-27 21:27:50,ScanQuery,39,400000,25405
2025-06-27 21:28:31,ScanQuery,40,400000,37771
2025-06-27 21:29:10,ScanQuery,41,400000,36173
2025-06-27 21:29:40,ScanQuery,42,400000,26664
2025-06-27 21:30:21,ScanQuery,43,400000,37527
2025-06-27 21:30:59,ScanQuery,44,400000,35627
2025-06-27 21:31:38,ScanQuery,45,400000,35709
2025-06-27 21:32:07,ScanQuery,46,400000,26114
2025-06-27 21:32:36,ScanQuery,47,400000,25586
2025-06-27 21:33:05,ScanQuery,48,400000,26281
2025-06-27 21:33:49,ScanQuery,49,400000,41117
